distancia_km,altitud_m
0,1471.371393
0.117647059,1468.226179
0.235294118,1472.730145
0.352941176,1474.024959
0.470588235,1466.804045
0.588235294,1483.609938
0.705882353,1484.091205
0.823529412,1476.373202
0.941176471,1479.324921
1.058823529,1477.759872
1.176470588,1476.288973
1.294117647,1480.092239
1.411764706,1480.237558
1.529411765,1476.599461
1.647058824,1476.026792
1.764705882,1477.778996
1.882352941,1480.269471
2,1477.884663
2.117647059,1479.35302
2.235294118,1480.454545
2.352941176,1481.394434
2.470588235,1482.418919
2.588235294,1483.528001
2.705882353,1484.721679
2.823529412,1485.999953
2.941176471,1487.572753
3.058823529,1489.202163
3.176470588,1490.750907
3.294117647,1492.218986
3.411764706,1493.618643
3.529411765,1494.983178
3.647058824,1496.214967
3.764705882,1497.314011
3.882352941,1498.328429
4,1499.113867
4.117647059,1499.261027
4.235294118,1499.307938
4.352941176,1499.254631
4.470588235,1499.101107
4.588235294,1499.79138
4.705882353,1498.433257
4.823529412,1500.066348
4.941176471,1501.265659
5.058823529,1501.615978
5.176470588,1501.117305
5.294117647,1498.497051
5.411764706,1496.212414
5.529411765,1495.331398
5.647058824,1495.837317
5.764705882,1495.7174
5.882352941,1494.878301
6,1493.835789
6.117647059,1491.617665
6.235294118,1489.661243
6.352941176,1488.098264
6.470588235,1486.928728
6.588235294,1486.759654
6.705882353,1487.057126
6.823529412,1486.530937
6.941176471,1484.554778
7.058823529,1482.111001
7.176470588,1480.159885
7.294117647,1478.55197
7.411764706,1477.854528
7.529411765,1479.078362
7.647058824,1478.706531
7.764705882,1475.988292
7.882352941,1476.775266
8,1477.164354
8.117647059,1476.763399
8.235294118,1476.148538
8.352941176,1475.630619
8.470588235,1475.209642
8.588235294,1471.906824
8.705882353,1469.603153
8.823529412,1468.860555
8.941176471,1469.679031
9.058823529,1472.058579
9.176470588,1472.825007
9.294117647,1468.452601
9.411764706,1473.260937
9.529411765,1467.621882
9.647058824,1470.087781
9.764705882,1462.998241
9.882352941,1470.14203
10.01426292,1470.14203

