distancia_km,altitud_m
0,1497
0.247058824,1473
0.494117647,1465.662331
0.741176471,1465.782044
0.988235294,1471.059817
1.235294118,1479.962484
1.482352941,1473.070904
1.729411765,1479.957823
1.976470588,1479.258552
2.223529412,1482.070724
2.470588235,1489.253692
2.717647059,1495.156297
2.964705882,1501.72594
3.211764706,1510.317092
3.458823529,1513.388125
3.705882353,1521
3.952941176,1525.550587
4.2,1529.539633
4.447058824,1530.997023
4.694117647,1530.952461
4.941176471,1528.848428
5.188235294,1529.736308
5.435294118,1532.089378
5.682352941,1533.606071
5.929411765,1526.909441
6.176470588,1525.018943
6.423529412,1527
6.670588235,1525.313795
6.917647059,1527.008396
7.164705882,1524
7.411764706,1521.963201
7.658823529,1508.27826
7.905882353,1507.724885
8.152941176,1513.092611
8.4,1515.260238
8.647058824,1509.920969
8.894117647,1502.827004
9.141176471,1495.868349
9.388235294,1495.338078
9.635294118,1495.014592
9.882352941,1491.757212
10.12941176,1494.617953
10.37647059,1500.216806
10.62352941,1502.433504
10.87058824,1496.55389
11.11764706,1491.134692
11.36470588,1485.421199
11.61176471,1483.874294
11.85882353,1483.124415
12.10588235,1482.269667
12.35294118,1480.45187
12.6,1479.014817
12.84705882,1478.760146
13.09411765,1482.976908
13.34117647,1485.894846
13.58823529,1487.848907
13.83529412,1489.856245
14.08235294,1491.916861
14.32941176,1494.030755
14.57647059,1496.197927
14.82352941,1498.557465
15.07058824,1498.868419
15.31764706,1497.526415
15.56470588,1499.880363
15.81176471,1504.487523
16.05882353,1501.428727
16.30588235,1499.17903
16.55294118,1496.381336
16.8,1493.79319
17.04705882,1491.414591
17.29411765,1489.24554
17.54117647,1487.286037
17.78823529,1485.536081
18.03529412,1483.995672
18.28235294,1482.664812
18.52941176,1481.543498
18.77647059,1480.904106
19.02352941,1479.663324
19.27058824,1477.298716
19.51764706,1476.137721
19.76470588,1477.190556
20.01176471,1477.396694
20.25882353,1476.756135
20.50588235,1475.268878
20.75294118,1471.46632
21.37997924,1465

